Coinone-BTC-KRW,12900000
Bitfinex-ETH-USD,877.89
Bithumb-BTC-KRW,20056000
Coinone-XRP-KRW,296
Bithumb-XRP-KRW,3662
Time,2018-01-04-03:13
Coinone-ETH-KRW,552000
Bitfinex-XRP-USD,2.71
Bitfinex-BTC-USD,14880
Bithumb-ETH-KRW,1184500
